Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,ind1,ind2,Turnover,Sales Date,Sales Amount,Quantity Sold,Discount Applied
4918,CA-2019-160304,2019-01-01,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,nan,Online,,,35.328300252573854,2019-01-23,76.41059595280637,1,0.26
4919,CA-2019-160304,2019-01-02,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,nan,Online,,,56.6457976882108,2019-01-21,178.88869044634038,4,0.24
4920,CA-2019-160304,2019-01-02,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,231.98,2,67.2742,nan,Cards,,,93.69934273608354,2019-01-25,224.68084152879544,3,0.19
3074,CA-2019-125206,2019-01-03,05-01-2019,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,nan,Online,,,38.328745010119285,2019-01-19,115.99753382316796,1,0.25
8604,US-2019-116365,2019-01-03,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,Returned,Online,,,-6.118912849315595,2019-01-10,31.03749215665605,3,0.12
8605,US-2019-116365,2019-01-03,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,Returned,Online,,,-7.218490388515129,2019-01-11,167.93254449904234,3,0.17
8606,US-2019-116365,2019-01-03,08-01-2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,nan,Cards,,,15.24452431373872,2019-01-21,177.5289639324736,6,0.23
9494,CA-2019-105207,2019-01-03,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,nan,COD,,,506.88230329418934,2019-01-28,1617.7161646039146,7,0.03
9495,CA-2019-105207,2019-01-03,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.346,nan,COD,,,7.166024341111678,2019-01-16,11.536028556247658,3,0.26
2898,US-2019-164630,2019-01-04,09-01-2019,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,119.996,nan,Online,,,165.9819508180857,2019-01-25,942.521061322833,5,0.05
